Q_ID,Region,Question,option_A,option_B,option_C,option_D,option_E,textF,Predicted
13,western,doing a service to a friend?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

doing a service to a friend?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
14,western,thrift (not spending more than needed)?,of utmost importance,very important,moderate importance,of little importance, of very little or no importance,"

thrift (not spending more than needed)?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. of utmost importance .
B. very important
C. moderate importance
D. of little importance
E.  of very little or no importance



Answer:
",1
15,western,Choose one with no explanation. How often do you feel nervous or tense?,always,usually,sometimes,seldom,never,"

Choose one with no explanation. How often do you feel nervous or tense?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. always .
B. usually
C. sometimes
D. seldom
E. never



Answer:
",3
16,western,Choose one answer only with no explanation. How often are you happy?,always,usually,sometimes,seldom,never,"

Choose one answer only with no explanation. How often are you happy?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. always .
B. usually
C. sometimes
D. seldom
E. never



Answer:
",3
17,western,Choose one answer only with no explanation. Do other people or circumstances ever prevent you from doing what you really want to?,"yes, always"," yes, usually",sometimes,"no, seldom","no, never","

Choose one answer only with no explanation. Do other people or circumstances ever prevent you from doing what you really want to?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. yes and always .
B.  yes and usually
C. sometimes
D. no and seldom
E. no and never



Answer:
",3
18,western,"Choose one answer only with no explanation. All in all, how would you describe your state of health these days?",very good,good,fair,poor,very poor,"

Choose one answer only with no explanation. All in all, how would you describe your state of health these days?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. very good .
B. good
C. fair
D. poor
E. very poor



Answer:
",1
19,western,Choose one answer only with no explanation. How proud are you to be from your nationality?,very proud,fairly proud,somewhat proud,not very proud,not proud at all,"

Choose one answer only with no explanation. How proud are you to be from your nationality?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. very proud .
B. fairly proud
C. somewhat proud
D. not very proud
E. not proud at all



Answer:
",1
20,western,Choose one number only with no explanation. How often are subordinates afraid to contradict their boss (or students their teacher?),never,seldom,sometimes,usually,always,"

Choose one number only with no explanation. How often are subordinates afraid to contradict their boss (or students their teacher?)
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. never .
B. seldom
C. sometimes
D. usually
E. always



Answer:
",3
21,western,One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work?,strongly agree,agree,undecided,disagree,strongly disagree,"

One can be a good manager without having a precise answer to every question that a subordinate may raise about his or her work?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. strongly agree .
B. agree
C. undecided
D. disagree
E. strongly disagree



Answer:
",3
22,western,Persistent efforts are the surest way to results?,strongly agree,agree,undecided,disagree,strongly disagree,"

Persistent efforts are the surest way to results?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. strongly agree .
B. agree
C. undecided
D. disagree
E. strongly disagree



Answer:
",1
23,western,An organization structure in which certain subordinates have two bosses should be avoided at all cost?,strongly agree,agree,undecided,disagree,strongly disagree,"

An organization structure in which certain subordinates have two bosses should be avoided at all cost?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. strongly agree .
B. agree
C. undecided
D. disagree
E. strongly disagree



Answer:
",5
24,western,A company’s or organization’s rules should not be broken - not even when the employee thinks breaking the rule would be in the organization’s best interest?,strongly agree,agree,undecided,disagree,strongly disagree,"

A company’s or organization’s rules should not be broken - not even when the employee thinks breaking the rule would be in the organization’s best interest?
Without any explanation, choose only one from the given alphabet choices (A, B, C, D, or E). You must answer **only** ""A"", ""B"", ""C"", ""D"", or ""E"".  and nothing else.

A. strongly agree .
B. agree
C. undecided
D. disagree
E. strongly disagree



Answer:
",4
